No.,中分類,出典,分野名,大分類,学習日,正誤
42,基礎理論,平成23年特別 問3,テクノロジ系,基礎理論,2021/8/31,○
43,サービスマネジメント,平成23年特別 問56,マネジメント系,サービスマネジメント,2021/8/31,○
44,システム構成要素,平成23年特別 問16,テクノロジ系,コンピュータシステム,2021/8/31,○
45,プロジェクトマネジメント,平成23年特別 問54,マネジメント系,プロジェクトマネジメント,2021/8/31,○
46,企業活動,平成23年特別 問75,ストラテジ系,企業と法務,2021/8/31,○
47,ビジネスインダストリ,平成23年特別 問69,ストラテジ系,経営戦略,2021/8/31,×
48,ネットワーク,平成23年特別 問39,テクノロジ系,技術要素,2021/8/31,○
49,データベース,平成23年特別 問31,テクノロジ系,技術要素,2021/8/31,×
50,システム開発技術,平成23年特別 問49,テクノロジ系,開発技術,2021/8/31,○
51,コンピュータ構成要素,平成23年特別 問13,テクノロジ系,コンピュータシステム,2021/8/31,○
52,データベース,平成23年特別 問29,テクノロジ系,技術要素,2021/8/31,○
53,サービスマネジメント,平成23年特別 問58,マネジメント系,サービスマネジメント,2021/8/31,○
54,プロジェクトマネジメント,平成23年特別 問51,マネジメント系,プロジェクトマネジメント,2021/8/31,○
55,セキュリティ,平成23年特別 問44,テクノロジ系,技術要素,2021/8/31,○
56,ソフトウェア,平成23年特別 問20,テクノロジ系,コンピュータシステム,2021/8/31,×
57,ハードウェア,平成23年特別 問26,テクノロジ系,コンピュータシステム,2021/8/31,○
58,基礎理論,平成23年特別 問4,テクノロジ系,基礎理論,2021/8/31,○
59,コンピュータ構成要素,平成23年特別 問15,テクノロジ系,コンピュータシステム,2021/8/31,×
60,経営戦略マネジメント,平成23年特別 問65,ストラテジ系,経営戦略,2021/8/31,○
61,マルチメディア,平成23年特別 問28,テクノロジ系,技術要素,2021/8/31,×
62,プロジェクトマネジメント,平成23年特別 問52,マネジメント系,プロジェクトマネジメント,2021/8/31,×
63,データベース,平成23年特別 問30,テクノロジ系,技術要素,2021/8/31,○
64,コンピュータ構成要素,平成23年特別 問9,テクノロジ系,コンピュータシステム,2021/8/31,×
65,アルゴリズムとプログラミング,平成23年特別 問6,テクノロジ系,基礎理論,2021/8/31,○
66,企業活動,平成23年特別 問73,ストラテジ系,企業と法務,2021/8/31,×
67,セキュリティ,平成23年特別 問43,テクノロジ系,技術要素,2021/8/31,○
68,アルゴリズムとプログラミング,平成23年特別 問8,テクノロジ系,基礎理論,2021/8/31,○
69,ソフトウェア,平成23年特別 問21,テクノロジ系,コンピュータシステム,2021/8/31,○
70,データベース,平成23年特別 問34,テクノロジ系,技術要素,2021/8/31,×
71,データベース,平成23年特別 問32,テクノロジ系,技術要素,2021/8/31,○
72,アルゴリズムとプログラミング,平成23年特別 問5,テクノロジ系,基礎理論,2021/8/31,○
73,企業活動,平成23年特別 問74,ストラテジ系,企業と法務,2021/8/31,×
74,ネットワーク,平成23年特別 問37,テクノロジ系,技術要素,2021/8/31,○
75,システム戦略,平成23年特別 問61,ストラテジ系,システム戦略,2021/8/31,○
76,ネットワーク,平成23年特別 問38,テクノロジ系,技術要素,2021/8/31,×
77,経営戦略マネジメント,平成23年特別 問68,ストラテジ系,経営戦略,2021/8/31,×
78,コンピュータ構成要素,平成23年特別 問11,テクノロジ系,コンピュータシステム,2021/8/31,×
79,データベース,平成23年特別 問35,テクノロジ系,技術要素,2021/8/31,×
80,サービスマネジメント,平成23年特別 問57,マネジメント系,サービスマネジメント,2021/8/31,×
 ,,,,,,
1,基礎理論,平成21年春期 問1,テクノロジ系,基礎理論,2021/8/14,○
2,基礎理論,平成21年春期 問2,テクノロジ系,基礎理論,2021/8/14,○
3,基礎理論,平成21年春期 問3,テクノロジ系,基礎理論,2021/8/14,×
4,基礎理論,平成21年春期 問4,テクノロジ系,基礎理論,2021/8/14,×
5,アルゴリズムとプログラミング,平成21年春期 問5,テクノロジ系,基礎理論,2021/8/14,×
6,アルゴリズムとプログラミング,平成21年春期 問6,テクノロジ系,基礎理論,2021/8/14,×
7,アルゴリズムとプログラミング,平成21年春期 問7,テクノロジ系,基礎理論,2021/8/14,○
8,アルゴリズムとプログラミング,平成21年春期 問8,テクノロジ系,基礎理論,2021/8/14,×
9,コンピュータ構成要素,平成21年春期 問9,テクノロジ系,コンピュータシステム,2021/8/14,×
10,ハードウェア,平成21年春期 問10,テクノロジ系,コンピュータシステム,2021/8/14,×
11,コンピュータ構成要素,平成21年春期 問11,テクノロジ系,コンピュータシステム,2021/8/14,×
12,コンピュータ構成要素,平成21年春期 問12,テクノロジ系,コンピュータシステム,2021/8/14,○
13,システム構成要素,平成21年春期 問13,テクノロジ系,コンピュータシステム,2021/8/14,×
14,コンピュータ構成要素,平成21年春期 問14,テクノロジ系,コンピュータシステム,2021/8/14,×
15,システム構成要素,平成21年春期 問15,テクノロジ系,コンピュータシステム,2021/8/14,○
16,システム構成要素,平成21年春期 問16,テクノロジ系,コンピュータシステム,2021/8/14,○
17,システム構成要素,平成21年春期 問17,テクノロジ系,コンピュータシステム,2021/8/14,×
18,ソフトウェア,平成21年春期 問18,テクノロジ系,コンピュータシステム,2021/8/14,○
19,ソフトウェア,平成21年春期 問19,テクノロジ系,コンピュータシステム,2021/8/14,○
20,ソフトウェア,平成21年春期 問20,テクノロジ系,コンピュータシステム,2021/8/14,×
21,ソフトウェア,平成21年春期 問21,テクノロジ系,コンピュータシステム,2021/8/14,×
22,ソフトウェア,平成21年春期 問22,テクノロジ系,コンピュータシステム,2021/8/14,×
23,ソフトウェア,平成21年春期 問23,テクノロジ系,コンピュータシステム,2021/8/14,×
24,ハードウェア,平成21年春期 問24,テクノロジ系,コンピュータシステム,2021/8/14,×
25,ハードウェア,平成21年春期 問25,テクノロジ系,コンピュータシステム,2021/8/14,○
26,ヒューマンインタフェース,平成21年春期 問26,テクノロジ系,技術要素,2021/8/14,×
27,ヒューマンインタフェース,平成21年春期 問27,テクノロジ系,技術要素,2021/8/14,×
28,ヒューマンインタフェース,平成21年春期 問28,テクノロジ系,技術要素,2021/8/14,○
29,データベース,平成21年春期 問29,テクノロジ系,技術要素,2021/8/14,×
30,マルチメディア,平成21年春期 問30,テクノロジ系,技術要素,2021/8/14,○
31,データベース,平成21年春期 問31,テクノロジ系,技術要素,2021/8/14,×
32,データベース,平成21年春期 問32,テクノロジ系,技術要素,2021/8/14,×
33,データベース,平成21年春期 問33,テクノロジ系,技術要素,2021/8/14,×
34,データベース,平成21年春期 問34,テクノロジ系,技術要素,2021/8/14,○
35,データベース,平成21年春期 問35,テクノロジ系,技術要素,2021/8/14,×
36,ネットワーク,平成21年春期 問36,テクノロジ系,技術要素,2021/8/14,×
37,ネットワーク,平成21年春期 問37,テクノロジ系,技術要素,2021/8/14,○
38,ネットワーク,平成21年春期 問38,テクノロジ系,技術要素,2021/8/14,○
39,ネットワーク,平成21年春期 問39,テクノロジ系,技術要素,2021/8/14,×
40,セキュリティ,平成21年春期 問40,テクノロジ系,技術要素,2021/8/14,×
41,セキュリティ,平成21年春期 問41,テクノロジ系,技術要素,2021/8/14,○
42,セキュリティ,平成21年春期 問42,テクノロジ系,技術要素,2021/8/14,×
43,セキュリティ,平成21年春期 問43,テクノロジ系,技術要素,2021/8/14,○
44,システム開発技術,平成21年春期 問44,テクノロジ系,開発技術,2021/8/14,○
45,ソフトウェア開発管理技術,平成21年春期 問45,テクノロジ系,開発技術,2021/8/14,○
46,システム開発技術,平成21年春期 問46,テクノロジ系,開発技術,2021/8/14,○
47,システム開発技術,平成21年春期 問47,テクノロジ系,開発技術,2021/8/14,×
48,システム開発技術,平成21年春期 問48,テクノロジ系,開発技術,2021/8/14,×
49,ソフトウェア開発管理技術,平成21年春期 問49,テクノロジ系,開発技術,2021/8/14,×
50,ソフトウェア開発管理技術,平成21年春期 問50,テクノロジ系,開発技術,2021/8/14,○
51,プロジェクトマネジメント,平成21年春期 問51,マネジメント系,プロジェクトマネジメント,2021/8/14,×
52,プロジェクトマネジメント,平成21年春期 問52,マネジメント系,プロジェクトマネジメント,2021/8/14,○
53,プロジェクトマネジメント,平成21年春期 問53,マネジメント系,プロジェクトマネジメント,2021/8/14,×
54,プロジェクトマネジメント,平成21年春期 問54,マネジメント系,プロジェクトマネジメント,2021/8/14,○
55,サービスマネジメント,平成21年春期 問55,マネジメント系,サービスマネジメント,2021/8/14,○
56,サービスマネジメント,平成21年春期 問56,マネジメント系,サービスマネジメント,2021/8/14,×
57,サービスマネジメント,平成21年春期 問57,マネジメント系,サービスマネジメント,2021/8/14,×
58,システム監査,平成21年春期 問58,マネジメント系,サービスマネジメント,2021/8/14,×
59,システム監査,平成21年春期 問59,マネジメント系,サービスマネジメント,2021/8/14,○
60,システム監査,平成21年春期 問60,マネジメント系,サービスマネジメント,2021/8/14,×
61,システム戦略,平成21年春期 問61,ストラテジ系,システム戦略,2021/8/14,○
62,システム戦略,平成21年春期 問62,ストラテジ系,システム戦略,2021/8/14,×
63,企業活動,平成21年春期 問63,ストラテジ系,企業と法務,2021/8/14,×
64,システム戦略,平成21年春期 問64,ストラテジ系,システム戦略,2021/8/14,○
65,システム企画,平成21年春期 問65,ストラテジ系,システム戦略,2021/8/14,○
66,システム企画,平成21年春期 問66,ストラテジ系,システム戦略,2021/8/14,○
67,システム企画,平成21年春期 問67,ストラテジ系,システム戦略,2021/8/14,×
68,経営戦略マネジメント,平成21年春期 問68,ストラテジ系,経営戦略,2021/8/14,○
69,経営戦略マネジメント,平成21年春期 問69,ストラテジ系,経営戦略,2021/8/14,×
70,経営戦略マネジメント,平成21年春期 問70,ストラテジ系,経営戦略,2021/8/14,×
71,技術戦略マネジメント,平成21年春期 問71,ストラテジ系,経営戦略,2021/8/14,○
72,システム戦略,平成21年春期 問72,ストラテジ系,システム戦略,2021/8/14,○
73,ビジネスインダストリ,平成21年春期 問73,ストラテジ系,経営戦略,2021/8/14,○
74,ビジネスインダストリ,平成21年春期 問74,ストラテジ系,経営戦略,2021/8/14,○
75,経営戦略マネジメント,平成21年春期 問75,ストラテジ系,経営戦略,2021/8/14,○
76,企業活動,平成21年春期 問76,ストラテジ系,企業と法務,2021/8/14,○
77,企業活動,平成21年春期 問77,ストラテジ系,企業と法務,2021/8/14,×
78,法務,平成21年春期 問78,ストラテジ系,企業と法務,2021/8/14,×
79,法務,平成21年春期 問79,ストラテジ系,企業と法務,2021/8/14,○
80,法務,平成21年春期 問80,ストラテジ系,企業と法務,2021/8/14,○
 ,,,,,,
1,基礎理論,平成21年秋期 問1,テクノロジ系,基礎理論,2021/8/27,×
2,基礎理論,平成21年秋期 問2,テクノロジ系,基礎理論,2021/8/27,○
3,基礎理論,平成21年秋期 問3,テクノロジ系,基礎理論,2021/8/27,○
4,基礎理論,平成21年秋期 問4,テクノロジ系,基礎理論,2021/8/27,○
5,アルゴリズムとプログラミング,平成21年秋期 問5,テクノロジ系,基礎理論,2021/8/27,○
6,アルゴリズムとプログラミング,平成21年秋期 問6,テクノロジ系,基礎理論,2021/8/27,×
7,アルゴリズムとプログラミング,平成21年秋期 問7,テクノロジ系,基礎理論,2021/8/27,×
8,アルゴリズムとプログラミング,平成21年秋期 問8,テクノロジ系,基礎理論,2021/8/27,×
9,コンピュータ構成要素,平成21年秋期 問9,テクノロジ系,コンピュータシステム,2021/8/27,×
10,コンピュータ構成要素,平成21年秋期 問10,テクノロジ系,コンピュータシステム,2021/8/27,×
11,コンピュータ構成要素,平成21年秋期 問11,テクノロジ系,コンピュータシステム,2021/8/27,×
12,システム構成要素,平成21年秋期 問12,テクノロジ系,コンピュータシステム,2021/8/27,×
13,コンピュータ構成要素,平成21年秋期 問13,テクノロジ系,コンピュータシステム,2021/8/27,○
14,システム構成要素,平成21年秋期 問14,テクノロジ系,コンピュータシステム,2021/8/27,×
15,システム構成要素,平成21年秋期 問15,テクノロジ系,コンピュータシステム,2021/8/27,○
16,システム構成要素,平成21年秋期 問16,テクノロジ系,コンピュータシステム,2021/8/27,○
17,システム構成要素,平成21年秋期 問17,テクノロジ系,コンピュータシステム,2021/8/27,×
18,ソフトウェア,平成21年秋期 問18,テクノロジ系,コンピュータシステム,2021/8/27,○
19,ソフトウェア,平成21年秋期 問19,テクノロジ系,コンピュータシステム,2021/8/27,○
20,ソフトウェア,平成21年秋期 問20,テクノロジ系,コンピュータシステム,2021/8/27,○
21,ソフトウェア,平成21年秋期 問21,テクノロジ系,コンピュータシステム,2021/8/27,○
22,コンピュータ構成要素,平成21年秋期 問22,テクノロジ系,コンピュータシステム,2021/8/27,○
23,ハードウェア,平成21年秋期 問23,テクノロジ系,コンピュータシステム,2021/8/27,×
24,ハードウェア,平成21年秋期 問24,テクノロジ系,コンピュータシステム,2021/8/27,×
25,ハードウェア,平成21年秋期 問25,テクノロジ系,コンピュータシステム,2021/8/27,○
26,ヒューマンインタフェース,平成21年秋期 問26,テクノロジ系,技術要素,2021/8/27,○
27,ヒューマンインタフェース,平成21年秋期 問27,テクノロジ系,技術要素,2021/8/27,○
28,システム開発技術,平成21年秋期 問28,テクノロジ系,開発技術,2021/8/27,×
29,マルチメディア,平成21年秋期 問29,テクノロジ系,技術要素,2021/8/27,×
30,マルチメディア,平成21年秋期 問30,テクノロジ系,技術要素,2021/8/27,○
31,マルチメディア,平成21年秋期 問31,テクノロジ系,技術要素,2021/8/27,○
32,データベース,平成21年秋期 問32,テクノロジ系,技術要素,2021/8/27,○
33,データベース,平成21年秋期 問33,テクノロジ系,技術要素,2021/8/27,×
34,データベース,平成21年秋期 問34,テクノロジ系,技術要素,2021/8/27,○
35,データベース,平成21年秋期 問35,テクノロジ系,技術要素,2021/8/27,×
36,ネットワーク,平成21年秋期 問36,テクノロジ系,技術要素,2021/8/27,○
37,ネットワーク,平成21年秋期 問37,テクノロジ系,技術要素,2021/8/27,○
38,ネットワーク,平成21年秋期 問38,テクノロジ系,技術要素,2021/8/27,○
39,ネットワーク,平成21年秋期 問39,テクノロジ系,技術要素,2021/8/27,×
40,ネットワーク,平成21年秋期 問40,テクノロジ系,技術要素,2021/8/27,×
41,ネットワーク,平成21年秋期 問41,テクノロジ系,技術要素,2021/8/27,×
42,セキュリティ,平成21年秋期 問42,テクノロジ系,技術要素,2021/8/27,×
43,セキュリティ,平成21年秋期 問43,テクノロジ系,技術要素,2021/8/27,×
44,セキュリティ,平成21年秋期 問44,テクノロジ系,技術要素,2021/8/27,×
45,システム開発技術,平成21年秋期 問45,テクノロジ系,開発技術,2021/8/27,○
46,システム開発技術,平成21年秋期 問46,テクノロジ系,開発技術,2021/8/27,○
47,システム開発技術,平成21年秋期 問47,テクノロジ系,開発技術,2021/8/27,○
48,システム開発技術,平成21年秋期 問48,テクノロジ系,開発技術,2021/8/27,×
49,ソフトウェア開発管理技術,平成21年秋期 問49,テクノロジ系,開発技術,2021/8/27,×
50,ソフトウェア開発管理技術,平成21年秋期 問50,テクノロジ系,開発技術,2021/8/27,×
51,プロジェクトマネジメント,平成21年秋期 問51,マネジメント系,プロジェクトマネジメント,2021/8/27,×
52,プロジェクトマネジメント,平成21年秋期 問52,マネジメント系,プロジェクトマネジメント,2021/8/27,○
53,プロジェクトマネジメント,平成21年秋期 問53,マネジメント系,プロジェクトマネジメント,2021/8/27,○
54,プロジェクトマネジメント,平成21年秋期 問54,マネジメント系,プロジェクトマネジメント,2021/8/27,○
55,サービスマネジメント,平成21年秋期 問55,マネジメント系,サービスマネジメント,2021/8/27,×
56,サービスマネジメント,平成21年秋期 問56,マネジメント系,サービスマネジメント,2021/8/27,○
57,サービスマネジメント,平成21年秋期 問57,マネジメント系,サービスマネジメント,2021/8/27,○
58,システム監査,平成21年秋期 問58,マネジメント系,サービスマネジメント,2021/8/27,×
59,システム監査,平成21年秋期 問59,マネジメント系,サービスマネジメント,2021/8/27,○
60,プロジェクトマネジメント,平成21年秋期 問60,マネジメント系,プロジェクトマネジメント,2021/8/27,○
61,システム戦略,平成21年秋期 問61,ストラテジ系,システム戦略,2021/8/27,○
62,システム戦略,平成21年秋期 問62,ストラテジ系,システム戦略,2021/8/27,×
63,システム戦略,平成21年秋期 問63,ストラテジ系,システム戦略,2021/8/27,×
64,システム戦略,平成21年秋期 問64,ストラテジ系,システム戦略,2021/8/27,○
65,システム企画,平成21年秋期 問65,ストラテジ系,システム戦略,2021/8/27,○
66,システム企画,平成21年秋期 問66,ストラテジ系,システム戦略,2021/8/27,×
67,システム企画,平成21年秋期 問67,ストラテジ系,システム戦略,2021/8/27,○
68,システム企画,平成21年秋期 問68,ストラテジ系,システム戦略,2021/8/27,○
69,企業活動,平成21年秋期 問69,ストラテジ系,企業と法務,2021/8/27,○
70,経営戦略マネジメント,平成21年秋期 問70,ストラテジ系,経営戦略,2021/8/27,×
71,法務,平成21年秋期 問71,ストラテジ系,企業と法務,2021/8/27,×
72,企業活動,平成21年秋期 問72,ストラテジ系,企業と法務,2021/8/27,○
73,企業活動,平成21年秋期 問73,ストラテジ系,企業と法務,2021/8/27,○
74,ビジネスインダストリ,平成21年秋期 問74,ストラテジ系,経営戦略,2021/8/27,○
75,企業活動,平成21年秋期 問75,ストラテジ系,企業と法務,2021/8/27,○
76,企業活動,平成21年秋期 問76,ストラテジ系,企業と法務,2021/8/27,○
77,企業活動,平成21年秋期 問77,ストラテジ系,企業と法務,2021/8/27,○
78,法務,平成21年秋期 問78,ストラテジ系,企業と法務,2021/8/27,×
79,法務,平成21年秋期 問79,ストラテジ系,企業と法務,2021/8/27,○
80,法務,平成21年秋期 問80,ストラテジ系,企業と法務,2021/8/27,×
 ,,,,,,
